Trial,KK,RepeatedRandom,HillClimbing,SimulatedAnnealing,RepeatedRandomPP,HillClimbingPP,SimulatedAnnealingPP
1,243525,365989989,130413807,820476299,721021115,1649,1193
2,75459,749147571,49649365,110886859,453801311,993,543
3,333585,60791321,592031675,410208631,382961939,103,95
4,364573,1019154041,525860527,559980607,572481879,2505,215
5,499274,1663890668,9600502,177089450,425379162,324,12
6,50679,983355655,61558941,91014911,483885527,537,619
7,6297,289923365,141851981,93675167,391212795,11,733
8,79255,52619949,41953499,186719479,530051507,611,115
9,17592,450914866,326632432,13836614,409700748,2032,538
10,46863,155134253,393724045,226479395,504317933,1009,1207
11,43178,334809164,208661436,297150226,309984058,2300,26
12,14289,95311037,106630491,525908655,311990773,145,319
13,7964,814199544,120018340,153072086,582754252,140,462
14,1084011,351859313,101787919,76680837,455126029,423,99
15,125164,503947338,301696718,733990202,517703010,54,522
16,111640,331168558,503991656,150497122,513564604,682,380
17,52602,250699462,10557910,833848632,279942744,1916,220
18,48789,1132800455,16538989,37511737,310552989,405,109
19,714008,370595408,45397324,211348136,604250196,118,882
20,104493,249088631,111054379,55343659,502681395,923,533
21,1528478,238734766,195013800,568113386,450889340,1178,432
22,26423,422879069,146569383,939114721,543061263,145,123
23,145283,1236219271,55103153,221245635,418310477,511,161
24,13428,168078920,466859430,268728928,378196608,368,330
25,25127,449412203,410386189,466687861,681660055,487,113
26,118098,250827774,42106260,37768412,314325108,922,154
27,620257,191868027,106642211,109380535,778808941,1271,113
28,174312,51826154,33569164,206867538,492283932,2068,584
29,369267,940519427,591488585,215969543,395210615,1737,17
30,34617,30235707,82435633,52819311,454803825,369,889
31,79954,460060798,498708382,442097596,387721818,156,582
32,102734,71237852,111295898,651610774,399201556,1824,70
33,56344,296305734,233808082,33672900,760619780,1442,84
34,67309,206556833,386724715,115222913,368287833,2389,103
35,136493,538893389,52846929,67880597,390770209,43,535
36,330164,39215638,610324334,716191394,333574470,32,76
37,142413,262801565,126215233,285896785,1089348671,719,25
38,191694,51841656,6374792,352337616,506461030,614,118
39,133514,142928562,389524862,134834086,380314252,424,132
40,186766,460056552,1010404346,233133226,424693488,28,112
41,9981,352892269,33401523,773077949,400312089,109,261
42,271,26638341,121317129,2258165,487764263,1567,323
43,328860,259517152,323308008,514894280,352148016,366,10
44,488087,75670641,155951977,290257285,275895987,2027,413
45,20099,97684499,8263465,67611609,502274553,129,195
46,152253,84980193,1105069359,806007089,538698021,1391,127
47,25640,546039342,43459306,559689932,639759114,206,186
48,3313304,26877136,544196480,1421963684,388432910,698,48
49,290118,113329412,91852728,260402170,512143770,334,222
50,102994,209427994,91332756,1995555168,359393702,690,58
