KK,Repeated Random,Hill Climbing,Simulated Annealing,Repeated Random PP,Hill Climbing PP,Simulated Annealing PP
212626,68199906,313392218,170145203884,180,1042,6
105649,702201547,354702553,536956261803,33,637,745
83668,124994924,262655164,1161888004610,68,118,82
93796,82959150,31547784,1342472802312,330,282,582
351888,54893572,292310458,362735586,78,44,460
137758,103187434,165542496,806852562,18,144,48
92507,60115385,265933745,180737352187,77,565,135
419423,355976417,170444545,1108758767261,93,145,157
14088,221124364,286040604,836860572142,268,112,98
1095,635803311,53478411,54653695,53,411,1525
6461,288117377,56163229,1625243248325,9,801,1767
161160,6731670,193955364,460148034,46,826,270
18496,381249246,320577096,106206540,78,662,738
32452,1853356872,231258830,1609323310540,38,924,938
241895,697239111,738908463,13588905,57,3765,21
41061,418649535,324133639,962092831,215,459,485
317672,65328512,986486268,58432380,42,264,30
21541,364907881,951419787,1081168934309,3,955,201
155879,424238989,792035283,481536887,21,1801,11
24291,216074977,1024828387,1554370307643,197,231,59
68324,260669500,110144162,695378321980,426,240,746
233905,664621125,236427903,1331864490005,79,2773,325
385433,40225455,98117695,1967683230235,171,813,21
197059,210571671,927729339,2519540496123,85,597,2441
202578,587581744,191473076,1558892684370,142,138,270
10164,71849852,78331458,537395416244,56,214,102
330305,47107847,10780945,409769274877,253,2613,181
100468,448478346,355599078,892449472,62,1958,208
159344,1122217668,179991472,329831530,178,2584,172
815023,434611727,979207955,203333997,133,139,11
25882,102220942,285080632,1520284282,260,398,456
220402,301094886,37475476,1062645140,6,472,404
166436,322706030,120774280,1057806684,102,456,94
719020,68211018,467410560,1164920613608,318,1384,804
54864,231716660,997573726,1284969675302,686,920,224
119764,293798810,123377960,1082024684670,28,582,1490
352791,142518145,708658081,1308733365767,629,7,977
149774,303142362,59221492,803220396,274,388,590
10982,294007780,773926,579302042,234,594,1110
153903,7638895,65103129,558997337,555,15,767
498315,279834931,78640297,215448140035,15,609,195
42491,232233621,17377421,32327479,141,477,27
227869,242866207,372024357,68153683,23,1339,431
51807,117181699,188419745,106732673,357,643,117
436791,638998587,472297427,641311250541,87,15,2185
338839,510950613,156901069,653949344161,149,2773,303
41150,317154584,736894174,672794917786,14,224,394
705421,56770413,140137791,366313469419,41,2625,147
174980,315990616,758606134,179993668,50,372,1088
179331,655994267,46100867,33962965,73,191,991
